"businessPhones","displayName","givenName","jobTitle","mail","mobilePhone","officeLocation","preferredLanguage","surname","userPrincipalName","id"
"System.Object[]","Adele Vance","Adele","Retail Manager","AdeleV@kaam1995tec.onmicrosoft.com",,"18/2111","en-US","Vance","AdeleV@kaam1995tec.onmicrosoft.com","a1761a19-3559-4a8d-b994-8500282237aa"
"System.Object[]","Kristhian Armado Agama Marcelo","Kristhian Armado",,"admin@kaam1995tec.onmicrosoft.com",,,,"Agama Marcelo","admin@kaam1995tec.onmicrosoft.com","09329453-3448-4ba9-ba0d-7fb3a48c90af"
"System.Object[]","Alex Wilber","Alex","Marketing Assistant","AlexW@kaam1995tec.onmicrosoft.com",,"131/1104","en-US","Wilber","AlexW@kaam1995tec.onmicrosoft.com","76383037-301c-416e-bead-f98ca69941d4"
"System.Object[]","Diego Siciliani","Diego","HR Manager","DiegoS@kaam1995tec.onmicrosoft.com",,"14/1108","en-US","Siciliani","DiegoS@kaam1995tec.onmicrosoft.com","6467d18c-3c56-428c-af71-6c4de702576a"
"System.Object[]","Grady Archie","Grady","Designer","GradyA@kaam1995tec.onmicrosoft.com",,"19/2109","en-US","Archie","GradyA@kaam1995tec.onmicrosoft.com","42bb6340-a8b2-423f-8711-524788e750a0"
"System.Object[]","Henrietta Mueller","Henrietta","Developer","HenriettaM@kaam1995tec.onmicrosoft.com",,"18/1106","en-US","Mueller","HenriettaM@kaam1995tec.onmicrosoft.com","adfae7d1-d856-44ed-8f45-c4a196d93271"
"System.Object[]","Isaiah Langer","Isaiah","Sales Rep","IsaiahL@kaam1995tec.onmicrosoft.com",,"20/1101","en-US","Langer","IsaiahL@kaam1995tec.onmicrosoft.com","8074be8e-5a72-4890-bd76-db108769aa45"
"System.Object[]","Johanna Lorenz","Johanna","Senior Engineer","JohannaL@kaam1995tec.onmicrosoft.com",,"23/2102","en-US","Lorenz","JohannaL@kaam1995tec.onmicrosoft.com","1bf31adf-a118-4af6-a539-f22a98437d35"
"System.Object[]","Joni Sherman","Joni","Paralegal","JoniS@kaam1995tec.onmicrosoft.com",,"20/1109","en-US","Sherman","JoniS@kaam1995tec.onmicrosoft.com","f0cd36ee-284b-492c-9756-c865af87ab7f"
"System.Object[]","Lee Gu","Lee","Director","LeeG@kaam1995tec.onmicrosoft.com",,"23/3101","en-US","Gu","LeeG@kaam1995tec.onmicrosoft.com","0c0bcf94-150e-4aff-8e2c-d751ded93602"
"System.Object[]","Lidia Holloway","Lidia","Product Manager","LidiaH@kaam1995tec.onmicrosoft.com",,"20/2107","en-US","Holloway","LidiaH@kaam1995tec.onmicrosoft.com","c69f6e54-5cb3-4b58-84a7-e6d33152060b"
"System.Object[]","Lynne Robbins","Lynne","Planner","LynneR@kaam1995tec.onmicrosoft.com",,"20/1104","en-US","Robbins","LynneR@kaam1995tec.onmicrosoft.com","19bffef1-810e-4ab7-8ebc-801a97ff61a6"
"System.Object[]","Megan Bowen","Megan","Marketing Manager","MeganB@kaam1995tec.onmicrosoft.com",,"12/1110","en-US","Bowen","MeganB@kaam1995tec.onmicrosoft.com","8e7b739e-2e6a-484d-87ee-398c69f5950d"
"System.Object[]","Miriam Graham","Miriam","Director","MiriamG@kaam1995tec.onmicrosoft.com",,"131/2103","en-US","Graham","MiriamG@kaam1995tec.onmicrosoft.com","47038ced-3d70-4250-a2f2-09d499895407"
"System.Object[]","Nestor Wilke","Nestor","Director","NestorW@kaam1995tec.onmicrosoft.com",,"36/2121","en-US","Wilke","NestorW@kaam1995tec.onmicrosoft.com","a5f07657-5d31-445f-8722-cfb4116df4e3"
"System.Object[]","Patti Fernandez","Patti","President","PattiF@kaam1995tec.onmicrosoft.com",,"15/1102","en-US","Fernandez","PattiF@kaam1995tec.onmicrosoft.com","3972a07b-e046-4635-86ca-b0b0d95417b2"
"System.Object[]","Pradeep Gupta","Pradeep","Accountant","PradeepG@kaam1995tec.onmicrosoft.com",,"98/2202","en-US","Gupta","PradeepG@kaam1995tec.onmicrosoft.com","02d43be2-98ba-4162-b19b-222787ea7768"
"System.Object[]","Soporte TI","Soporte","Soporte","soporte@kaam1995tec.onmicrosoft.com",,,,"TI","soporte@kaam1995tec.onmicrosoft.com","d51d7fbf-72ea-4e23-b82a-4c8f3b6f5032"
"System.Object[]","Usuario 01","Usuario","Soporte","usuario.01@kaam1995tec.onmicrosoft.com","999999999","TI",,"01","usuario.01@kaam1995tec.onmicrosoft.com","ec7365d5-5cbc-41c2-88a4-a03a09261477"
"System.Object[]","Usuario 02","Usuario","Asistente de soporte","usuario.02@kaam1995tec.onmicrosoft.com","988888888","TI",,"02","usuario.02@kaam1995tec.onmicrosoft.com","17f9c172-5529-4de8-8938-e24abf45ba48"
